ID,cd128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_School,Name_School,Total_Girls,Total_Students,Remarks,print
522417151,#NAME?,52,Kishoregonj,24,Tarail,17,Dhala,151,Dhala Union High School,290,643,,10
522419152,#NAME?,52,Kishoregonj,24,Tarail,19,Digdair,152,No School Sanitation,,,,10
522464153,#NAME?,52,Kishoregonj,24,Tarail,64,Rauti,153,Banail High School,133,414,,10
522464154,#NAME?,52,Kishoregonj,24,Tarail,64,Rauti,154,Purura High School,703,1798,,10
,#NAME?,,,,,,,,,,,,10
,#NAME?,,,,,,,,,,,,10
412839124,#NAME?,41,Kishoregonj,28,Hossainpur,39,Sidla,124,Pitolgonj High School,190,323,,11
415277147,#NAME?,41,Kishoregonj,52,Pakundia,77,Chondipasa,147,Kudalia High School,498,850,,11
415277148,#NAME?,41,Kishoregonj,52,Pakundia,77,Chondipasa,148,Chilakara girls Dhakil Madrasha,285,285,,11
415277150,#NAME?,41,Kishoregonj,52,Pakundia,77,Chondipasa,150,Shoylgani Dhakil Madrasha,175,425,,11
413956139,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,56,Binnati,139,Binnati Abdul Majid Molla High School,344,616,,11
413955140,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,55,Latibabad,140,Katabaria A.R. Khan  High School ,394,754,,11
413955141,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,55,Latibabad,141,Police Line high School,272,534,,11
413957142,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,57,Rashidabad,142,Zia Uddin High School,399,778,,11
413957143,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,57,Rashidabad,143,Khaza Moinuddin Chisti (R)Dakhil Madrasha,193,289,,11
413957144,#NAME?,41,Kishoregonj,39,Kiskoregonj Sadar,57,Rashidabad,144,Latibpur High School,390,701,,11
,#NAME?,,,,,,,,,,,,11
,#NAME?,,,,,,,,,,,,11
411214034,#NAME?,41,Faridpur,12,Boalmari,14,Goshpur,034,Vimpur High School,191,292,,12
411214035,#NAME?,41,Faridpur,12,Boalmari,14,Goshpur,035,Gohalbari High School,270,519,,12
412029036,#NAME?,41,Faridpur,20,Faridpur sadar,29,Aliabad,036,Uttar Bilmamudpur High School,220,420,,12
415784037,#NAME?,41,Faridpur,57,Saltha,84,Ramkantapur,037,Mitaly Bidya Niketan,290,446,,12
415784038,#NAME?,41,Faridpur,57,Saltha,84,Ramkantapur,038,Saltha High School,501,959,,12
415582243,#NAME?,41,Rajbari,55,Rajbari sadar,82,Ramkantopur,243,Bathulia Girls High School,225,225,,12
415582244,#NAME?,41,Rajbari,55,Rajbari sadar,82,Ramkantopur,244,Kazi Samiruddin High School,300,581,,12
410304245,#NAME?,41,Rajbari ,03,Baliakandi ,04,Islampur ,245,Rajthorpur High School,306,659,,12
410304247,#NAME?,41,Rajbari ,03,Baliakandi ,04,Islampur ,247,Baunara BSBC High School,185,289,,12
410304248,#NAME?,41,Rajbari ,03,Baliakandi ,04,Islampur ,248,Ramdia High School,417,915,,12
410304249,#NAME?,41,Rajbari ,03,Baliakandi ,04,Islampur ,249,Shahidnagar Women Dakhil Madrasa,352,352,,12
,#NAME?,,,,,,,,,,,,12
411417347,#NAME?,41,Comilla,14,Brahmanpara,17,Madobpur,347,Kandoghor BBS High School ,276,523,,13
411417348,#NAME?,41,Comilla,14,Brahmanpara,17,Madobpur,348,Kandoghor Islamia Dakhil Madrasa ,175,248,,13
411520349,#NAME?,41,Comilla,15,Chauddagram,20,Chiora,349,Dhorkora High School,456,760,,13
411520350,#NAME?,41,Comilla,15,Chauddagram,20,Chiora,350,Sakchi Sayde Bari Secondary School,185,263,,13
411521351,#NAME?,41,Comilla,15,Chauddagram,21,kasinogor,351,Kasinogor BN High School,230,550,,13
411521352,#NAME?,41,Comilla,15,Chauddagram,21,kasinogor,352,Foijunnesa Adorso girls High School,210,210,,13
411521353,#NAME?,41,Comilla,15,Chauddagram,21,kasinogor,353,Haji Sirajul Islam Dhakhil Madrasa,358,358,,13
411521354,#NAME?,41,Comilla,15,Chauddagram,21,kasinogor,354,Joymongola High School,187,420,,13
411519355,#NAME?,41,Comilla,15,Chauddagram,19,Suvopur,355,Kador High School,500,752,,13
411519356,#NAME?,41,Comilla,15,Chauddagram,19,Suvopur,356,Unkod High School,322,580,,13
411519357,#NAME?,41,Comilla,15,Chauddagram,19,Suvopur,357,Dhonikora Hafeg Khatun Junior School,157,307,,13
415179358,#NAME?,41,Comilla,51,Nangalkot,79,Moukora,358,Mayura High School,325,610,,13
415176359,#NAME?,41,Comilla,51,Nangalkot,76,Peria,359,Peria High School,128,213,,13
415176360,#NAME?,41,Comilla,51,Nangalkot,76,Peria,360,Uttar Shaktali High School,135,257,,13
415176361,#NAME?,41,Comilla,51,Nangalkot,76,Peria,361,Sreefolia High School,245,438,,13
415176362,#NAME?,41,Comilla,51,Nangalkot,76,Peria,362,Kakairtala High School,267,521,,13
415176363,#NAME?,41,Comilla,51,Nangalkot,76,Peria,363,Bara Sangishwar High School,268,493,,13
,#NAME?,,,,,,,,,,,,13
,#NAME?,,,,,,,,,,,,13
,#NAME?,,,,,,,,,,,,13
520913312,#NAME?,52,Chandpur,09,Faridgonj,13,Char Dukhiya (E),312, Sontuzpur High School,182,319,,14
520926313,#NAME?,52,Chandpur,09,Faridgonj,26,Gobindopur (N),313,Pottashi R.A High School,490,896,,14
520927314,#NAME?,52,Chandpur,09,Faridgonj,27,Gobindopur (S),314,Gobindopur High School,310,818,,14
520955315,#NAME?,52,Chandpur,09,Faridgonj,55,Paikpara (N),315,Paikpara U.G High School,438,712,,14
520956316,#NAME?,52,Chandpur,09,Faridgonj,56,Paikpara (S),316, Koraitoli High School,219,413,,14
520967317,#NAME?,52,Chandpur,09,Faridgonj,67,Rupsa (N),317,No School Sanitation,,,No School Sanitation,14
520975318,#NAME?,52,Chandpur,09,Faridgonj,75,Subidpur (E),318,Basara High School,243,424,,14
520975319,#NAME?,52,Chandpur,09,Faridgonj,75,Subidpur (E),319,Munshirhat J&A Ali High School,450,667,,14
520975320,#NAME?,52,Chandpur,09,Faridgonj,75,Subidpur (E),320,Gofur Chowdury High School,205,352,,14
,#NAME?,,,,,,,,,,,,14
,#NAME?,,,,,,,,,,,,14
,#NAME?,,,,,,,,,,,,14
411418297,#NAME?,41,Chandpur,14,Chandpur Sadar,18,Laxmipur,297,Bahoria Nurul Houqe High School,598,866,,15
411418307,#NAME?,41,Chandpur,14,Chandpur Sadar,18,Laxmipur,307,Raghunatpur Hazi A Karim High School,513,723,,15
411418311,#NAME?,41,Chandpur,14,Chandpur Sadar,18,Laxmipur,311,Luxmipur Dhakil Madrasha,598,810,,15
413244321,#NAME?,41,Chandpur,32,Kachua ,44,Gohat (North),321,Nurpur Lab. High School,260,410,,15
413244322,#NAME?,41,Chandpur,32,Kachua ,44,Gohat (North),322,PalgiriBegumRabaya High School,325,534,,15
413244323,#NAME?,41,Chandpur,32,Kachua ,44,Gohat (North),323,Burgai High School,289,532,,15
414465324,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,324,Zinaya High School,262,485,,15
414465325,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,325,Otarchar High School,216,369,,15
414465326,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,326,Siddika Begum High School,298,298,,15
414465327,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,327,Chengarchar Model High School,690,1354,,15
414465328,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,328,Ruhiterpar D.M High School,80,150,,15
414465329,#NAME?,41,Chandpur,44,Matlab North,65,Chengarchar,329,Jibgaw General Haque High School,338,623,,15
414466330,#NAME?,41,Chandpur,44,Matlab North,66,Farajikandi,330,Hagi Moynuddin High School,412,752,,15
521951331,#NAME?,52,Chandpur,19,Matlab South,51,Narayanpur,331,Kalikapur High School,265,480,,15
521952332,#NAME?,52,Chandpur,19,Matlab South,52,Naraygoan North,332,Adhara High School,249,508,,15
521953333,#NAME?,52,Chandpur,19,Matlab South,53,Naraygoan South,333,Ashwinpur High School,283,494,,15
521122267,#NAME?,52,Sylhet,11,Gowainghat,22,Doubari,267,No School Sanitation,,,,16
521144268,#NAME?,52,Sylhet,11,Gowainghat,44,Langura,268,No School Sanitation,,,,16
521150269,#NAME?,52,Sylhet,11,Gowainghat,50,Nandir goan,269,No School Sanitation,,,,16
521159270,#NAME?,52,Sylhet,11,Gowainghat,59,Porchim Joflong,270,Porgona bazar High School,215,375,,16
521159271,#NAME?,52,Sylhet,11,Gowainghat,59,Porchim Joflong,271,Sonar hat High School,285,465,,16
521161272,#NAME?,52,Sylhet,11,Gowainghat,61,Purbo Joflong,272,Dr. Idris Ali High School,650,1070,,16
521168273,#NAME?,52,Sylhet,11,Gowainghat,68,Rustompur,273,Kopur bazar High School,376,681,,16
521168274,#NAME?,52,Sylhet,11,Gowainghat,68,Rustompur,274,Birmongol High School,75,165,,16
521214276,#NAME?,52,Sylhet,12,Jaintapur,14,Chiknagul,276,No School Sanitation,,,No School Sanitation,17
521216277,#NAME?,52,Sylhet,12,Jaintapur,16,Darbost,277,Central Jainta High School,315,703,,17
521216278,#NAME?,52,Sylhet,12,Jaintapur,16,Darbost,278,Maulana Abdul Latif Julekha Girls High School,240,240,,17
521365279,#NAME?,52,Sylhet,13,Kanaighat,65,Razagonj,279,Surma High School,457,855,,17
521370280,#NAME?,52,Sylhet,13,Kanaighat,70,Sathbak,280,Charipara School & College,484,779,,17
521370281,#NAME?,52,Sylhet,13,Kanaighat,70,Sathbak,281,Julai High School,339,498,,17
522546282,#NAME?,52,Sylhet,25,Zokigonj,46,Manikpur,282,Isamoti High School,421,760,,17
522576283,#NAME?,52,Sylhet,25,Zokigonj,76,Sultanpur,283,Gonipur Kamalgonj High School,419,775,,17
412940257,#NAME?,41,Sunamganj,29,Jagannathpur,40,Raniganj,257, Raniganj High School,395,729,,18
412940258,#NAME?,41,Sunamganj,29,Jagannathpur,40,Raniganj,258,Rohail High School,180,300,,18
520511260,#NAME?,52,Sylhet,05,Biswanath,11,Biswanath,260,Hazi Mofiz Ali Girls High School,835,835,,18
520511261,#NAME?,52,Sylhet,05,Biswanath,11,Biswanath,261,Jagoron High School,168,340,,18
520511262,#NAME?,52,Sylhet,05,Biswanath,11,Biswanath,262,Dakin Biswanath Girls High School,200,200,,18
520511263,#NAME?,52,Sylhet,05,Biswanath,11,Biswanath,263,Shahpin High School,106,367,,18
520543265,#NAME?,52,Sylhet,05,Biswanath,43,Lamakazi,265,T.M.C Academy High School ,175,305,,18
520731266,#NAME?,52,Sylhet,07,Companigonj,31,Islampur Paschim,266,Tuker Bazar Shahid Smrity High School,715,1184,,18
412535049,#NAME?,41,Habigonj,25,Habigonj Sadar,35,Habigonj Sadar-Pourashava,049,Saistagonj High school,354,1021,,19
412535050,#NAME?,41,Habigonj,25,Habigonj Sadar,35,Habigonj Sadar-Pourashava,050,Saistagonj Ialamia Acadamy,272,688,,19
414058181,#NAME?,41,Moulvibazar,40,Kulaura,58,Baromchal,181,Baramchal School & Collage,407,732,,19
520635256,#NAME?,52,Sunamganj,06,Chhatak,35,Kalaruka,256,Hazi Kamor Ali High School,383,698,,19
522234259,#NAME?,52,Sunamganj,22,South Sunamgonj,34,Joykolosh,259,Joy Colosh Ujanigaw Roshidia High School,330,625,,19
,#NAME?,,,,,,,,,,,,19
,#NAME?,,,,,,,,,,,,19
,#NAME?,,,,,,,,,,,,19
412737338,#NAME?,41,Chittagong,27,Hathazari,37,Burishchor,338,No School Sanitation,,,No School Sanitation,21
412738339,#NAME?,41,Chittagong,27,Hathazari,38,Chikondandi,339,No School Sanitation,,,No School Sanitation,21
411113334,#NAME?,41,Chittagong,11,Boalkhali,13,East Gomdondi,334,Gomdondi Pilot High School,877,1600,,21
411112335,#NAME?,41,Chittagong,11,Boalkhali,12,Popadia,335,Iqbal park Girls High School,247,247,,21
411112336,#NAME?,41,Chittagong,11,Boalkhali,12,Popadia,336,Haowla High School,267,438,,21
411112337,#NAME?,41,Chittagong,11,Boalkhali,12,Popadia,337,Akubdandi Wares Mohsena High School,128,250,,21
,#NAME?,,,,,,,,,,,,21
,#NAME?,,,,,,,,,,,,21
411622011,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,22,Khurushkul,011,Khurushkul High School,470,890,,22
411622012,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,22,Khurushkul,012,S.K Model High School,350,550,,22
411622013,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,22,Khurushkul,013,Abul Kashem High School,140,229,,22
411622014,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,22,Khurushkul,014,Monira Baharul Ulum Dhakhil Madrasa,210,450,,22
414363340,#NAME?,41,Chittagong,43,Lohagara ,63,Amirabad ,340,Sukchari High School,290,505,,22
414363341,#NAME?,41,Chittagong,43,Lohagara ,63,Amirabad ,341,Golambari High School,490,1103,,22
414363342,#NAME?,41,Chittagong,43,Lohagara ,63,Amirabad ,342,Janakallyan Girls High School,265,265,,22
414363343,#NAME?,41,Chittagong,43,Lohagara ,63,Amirabad ,343,Uttar Amirabad MB High School,350,580,,22
414364344,#NAME?,41,Chittagong,43,Lohagara ,64,Barohatia ,344,BG Senar Hat High Schoolo,350,630,,22
414364345,#NAME?,41,Chittagong,43,Lohagara ,64,Barohatia ,345,Akterabad K.A High School ,180,302,,22
414364346,#NAME?,41,Chittagong,43,Lohagara ,64,Barohatia ,346,Barahatia Ardarsha High School,495,805,,22
411623364,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,23,Islamabad,364,Islamabad Jahanara Islam Girls High School,670,670,,22
411623365,#NAME?,41,Cox's Bazar,16,Cox's Bazar Sadar,23,Islamabad,365,A.G Lulful Kabir Girls Dhakhil Madrasa,490,490,,22
,#NAME?,,,,,,,,,,,,22
,#NAME?,,,,,,,,,,,,22
,#NAME?,,,,,,,,,,,,22
412332046,#NAME?,41,Gopalgonj,23,Gopalgonj,32,Raghunathpur,046,No School Sanitation,,,No School Sanitation,23
414872047,#NAME?,41,Gopalgonj,48,Muksudpur,72,Muksudpur-Pourashava,047,No School Sanitation,,,No School Sanitation,23
414873048,#NAME?,41,Gopalgonj,48,Muksudpur,73,Vabrasur,048,Baliyakandi Hadiuzzaman Memorial High School,353,726,,23
410809250,#NAME?,41,Shariatpur,08,Bhedargonj,09,Narayanpur,250,Narayanpur Union high school ,293,529,,23
520807091,#NAME?,52,Khulna,08,Dacope,07,Bajua,091,Bajua Union High School,226,724,,24
520807092,#NAME?,52,Khulna,08,Dacope,07,Bajua,092,Paschim Bajua High School,120,210,,24
520809093,#NAME?,52,Khulna,08,Dacope,09,Banishanta,093,Talukder Akter Faruk High School,143,248,,24
520809095,#NAME?,52,Khulna,08,Dacope,09,Banishanta,095,Banishanta Pinakpani High School,130,250,,24
520837096,#NAME?,52,Khulna,08,Dacope,37,Kamarkhola,096,No School Sanitation,,,,24
520841097,#NAME?,52,Khulna,08,Dacope,41,Koilashgonj,097,Koilashgonj High School,210,445,,24
520841098,#NAME?,52,Khulna,08,Dacope,41,Koilashgonj,098,Trimohoni High School,102,229,,24
520841099,#NAME?,52,Khulna,08,Dacope,41,Koilashgonj,099,Bangabandhu High School,142,262,,24
520857100,#NAME?,52,Khulna,08,Dacope,57,Pankhali,100,Khona K.B High School,112,216,,24
520857101,#NAME?,52,Khulna,08,Dacope,57,Pankhali,101,Laxmikhola G.T Pollimongol High School,127,307,,24
,#NAME?,,,,,,,,,,,,24
,#NAME?,,,,,,,,,,,,24
415683001,#NAME?,41,Bagerhat,56,Rampal,83,Vojpatia,001,Betkata High School,109,210,Close,25
410708088,#NAME?,41,Khulna,07,Batiaghata,08,Gongarampur,088,Boairvagna Bisomvar High School,142,420,,25
