Sl..No,ID,ID,cd128,PSU,District,PSU_UP,Upazila,PSU_Union,Union,PSU_VWC,VWC,Ultra.poor,Poor,Non.Poor,Total,Remarks,print
38754,14608890,14608890,#NAME?,14,Tangail,60,Shakhipur,88,Boheratoil,90,Jugir Gopa-218,21,80,112,213,,3
38883,14608789,14608789,#NAME?,14,Tangail,60,Shakhipur,87,Boheratoil,89,Jugir Gopa-347,16,70,140,226,,3
,,,,,,,,,,,,,,,,,3
35106,14629092,14629092,#NAME?,14,Sherpur,62,Sherpur sadar ,90,Vatshala ,92,Vatshala -1,10,125,48,183,,4
,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,4
29712,14223132,14223132,#NAME?,14,Mymensingh,22,Gaffargaon,31,Paithol,32,Paithol-4,22,155,123,300,,5
28757,14263638,14263638,#NAME?,14,Mymensingh,26,Haluaghat,36,Haluaghat,38,Akonpara-2,13,105,176,294,,5
29238,14497476,14497476,#NAME?,14,Mymensingh,49,Mymensingh Sadar,74,Khagdahar,76,Bagher Kanda-1,18,113,86,217,,5
29912,15689800,15689800,#NAME?,15,Mymensingh,68,Trishal,98,Khatal,00,Dogulia  2,25,63,86,174,,5
4570,25020860,25020860,#NAME?,25,Netrokona,02,Atpara,08,Baniajan,60,Mobarokpur(2),65,71,108,244,,6
4632,25022429,25022429,#NAME?,25,Netrokona,02,Atpara,24,Duaz,29,Ekratia,47,86,121,254,,6
4638,25022453,25022453,#NAME?,25,Netrokona,02,Atpara,24,Duaz,53,Koilong (2),20,31,57,108,,6
4603,25027833,25027833,#NAME?,25,Netrokona,02,Atpara,78,Teligati,33,Gatipara,39,56,97,192,,6
31559,14050606,14050606,#NAME?,14,Netrokona,05,Barhatta,06,Asma,06,Soygau Dottopara,28,141,78,247,,6
32432,14375254,14375254,#NAME?,14,Netrokona,37,Kendua,52,Sandikona,54,Hararkandi,11,84,27,122,,6
,,,,,,,,,,,,,,,,,6
,,,,,,,,,,,,,,,,,6
4707,25210242,25210242,#NAME?,25,Netrokona,21,Purbadhala,02,Agia,42,Jagir,53,56,52,161,,7
4717,25210244,25210244,#NAME?,25,Netrokona,21,Purbadhala,02,Agia,44,Jatiyabor-1,22,117,90,229,,7
5010,25210656,25210656,#NAME?,25,Netrokona,21,Purbadhala,06,Bairati,56,Matang,29,92,168,289,,7
4764,25212558,25212558,#NAME?,25,Netrokona,21,Purbadhala,25,Ghagra,58,Megshimul Pachim-1,77,125,61,263,,7
4695,25212998,25212998,#NAME?,25,Netrokona,21,Purbadhala,29,Hugla,98,Vikuniya-1,47,126,127,300,,7
4792,25213343,25213343,#NAME?,25,Netrokona,21,Purbadhala,33,Jariya,43,Jariya Purba-1,99,92,106,297,,7
4787,25213396,25213396,#NAME?,25,Netrokona,21,Purbadhala,33,Jariya,96,Uttor-Barha,37,62,90,189,,7
4908,25214084,25214084,#NAME?,25,Netrokona,21,Purbadhala,40,Kholishaur,84,Shikh Para Porchim Para,44,96,91,231,,7
2828,25032071,25032071,#NAME?,25,Kishoregonj,03,Bajitpur,20,Dighirpar,71,Patuli--3,54,42,204,300,,8
2712,25032117,25032117,#NAME?,25,Kishoregonj,03,Bajitpur,21,Dilalpur,17,Dariakandi & Jaluapara,40,33,111,184,,8
2717,25032166,25032166,#NAME?,25,Kishoregonj,03,Bajitpur,21,Dilalpur,66,Nagar Mohamirerbag & Kamaria,22,41,103,166,,8
2715,25032191,25032191,#NAME?,25,Kishoregonj,03,Bajitpur,21,Dilalpur,91,Tatalchar-3,68,163,96,327,,8
2697,25033089,25033089,#NAME?,25,Kishoregonj,03,Bajitpur,30,Humaipur,89,Tangosaipur-Uttar,75,44,144,263,,8
2872,25035851,25035851,#NAME?,25,Kishoregonj,03,Bajitpur,58,Pirijpur,51,Khasola,39,31,150,220,,8
3091,25042803,25042803,#NAME?,25,Kishoregonj,04,Bhairab ,28,Gojaria,03,Banchgari Eastpara-1,32,100,118,250,,8
3158,25043673,25043673,#NAME?,25,Kishoregonj,04,Bhairab ,36,Kalikaprosad,73,Poltakanda,28,18,125,171,,8
3565,25140138,25140138,#NAME?,25,Kishoregonj,14,Katiadi,01,Achmita,38,Harina-1,37,122,86,245,,9
3704,25143224,25143224,#NAME?,25,Kishoregonj,14,Katiadi,32,Jalalpur,24,Dokkin Char Pukkia-3,10,86,52,148,,9
3633,25143832,25143832,#NAME?,25,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,32,Gagoir-1,35,38,107,180,,9
3642,25143852,25143852,#NAME?,25,Kishoregonj,14,Katiadi,38,Katiadi-Pourashava,52,Khetertica-2,33,12,175,220,,9
3601,25144813,25144813,#NAME?,25,Kishoregonj,14,Katiadi,48,Mosua,13,Charalgi-3,11,31,88,130,,9
3621,25144809,25144809,#NAME?,25,Kishoregonj,14,Katiadi,48,Mosua,09,Boro mosua-7,20,51,186,257,,9
3538,25144995,25144995,#NAME?,25,Kishoregonj,14,Katiadi,49,Mumurdia,95,Uttor Mumurdia-1,46,100,155,301,,9
3424,25147128,25147128,#NAME?,25,Kishoregonj,14,Katiadi,71,Shasram Duldia,28,East purura-1,45,30,162,237,,9
2517,25174250,25174250,#NAME?,25,Kishoregonj,17,Kuliarchar,42,Kuliarchar-Pourashava,50,Khali Karkandi Tiakata,17,51,41,109,,10
2490,25174268,25174268,#NAME?,25,Kishoregonj,17,Kuliarchar,42,Kuliarchar-Pourashava,68,Noyagaon Beparipara Rayer Char-1,45,51,132,228,,10
2627,25176318,25176318,#NAME?,25,Kishoregonj,17,Kuliarchar,63,Ramdi,18,Daspara+Bora Kanda,26,138,59,223,,10
2625,25176390,25176390,#NAME?,25,Kishoregonj,17,Kuliarchar,63,Ramdi,90,Tarakandi-3,41,157,88,286,,10
3259,25241778,25241778,#NAME?,25,Kishoregonj,24,Tarail,17,Dhala,78,Sakandarnogor (5),11,128,61,200,,10
3241,25241706,25241706,#NAME?,25,Kishoregonj,24,Tarail,17,Dhala,06,BeharKona(2),35,106,12,153,,10
3331,25241922,25241922,#NAME?,25,Kishoregonj,24,Tarail,19,Digdair,22,Digdair (2),48,110,104,262,,10
3226,25246465,25246465,#NAME?,25,Kishoregonj,24,Tarail,64,Rauti,65,Mougau,29,71,201,301,,10
3222,25246483,25246483,#NAME?,25,Kishoregonj,24,Tarail,64,Rauti,83,Shibpur,29,39,142,210,,10
3219,25246485,25246485,#NAME?,25,Kishoregonj,24,Tarail,64,Rauti,85,Shimulati(2),48,20,216,284,,10
,,,,,,,,,,,,,,,,,10
,,,,,,,,,,,,,,,,,10
25841,14283941,14283941,#NAME?,14,Kishoregonj,28,Hossainpur,39,Sidla,41,Athkapaa,8,17,78,103,,11
25685,14395658,14395658,#NAME?,14,Kishoregonj,39,Kiskoregonj Sadar,56,Binnati,58,Koarkhali 2,37,27,193,257,,11
25548,14395557,14395557,#NAME?,14,Kishoregonj,39,Kiskoregonj Sadar,55,Latibabad,57,Namapara 2,15,55,78,148,,11
25514,14395759,14395759,#NAME?,14,Kishoregonj,39,Kiskoregonj Sadar,57,Rashidabad,59,Brammankuchuri 1,30,82,82,194,,11
26229,14527780,14527780,#NAME?,14,Kishoregonj,52,Pakundia,77,Chondipasa,80,Kodaliaâ€”6,18,50,138,206,,11
,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,11
,,,,,,,,,,,,,,,,,11
17404,14030404,14030404,#NAME?,14,Rajbari ,03,Baliakandi ,04,Islampur ,04,Gobindopur-1,9,103,60,172,,12
15910,14121414,14121414,#NAME?,14,Faridpur,12,Boalmari,14,Goshpur,14,Rakhalgachi,66,86,104,256,,12
15661,14202929,14202929,#NAME?,14,Faridpur,20,Faridpur sadar,29,Aliabad,29,Bilmamudpur-7,10,188,72,270,,12
15654,14202930,14202930,#NAME?,14,Faridpur,20,Faridpur sadar,29,Aliabad,30,Godhadhordangi-3,37,31,113,181,,12
17122,14558284,14558284,#NAME?,14,Rajbari,55,Rajbari sadar,82,Ramkantopur,84,Roynagar,48,157,86,291,,12
18181,14578486,14578486,#NAME?,14,Faridpur,57,Saltha,84,Ramkantapur,86,Modandia,22,24,45,91,,12
,,,,,,,,,,,,,,,,,12
,,,,,,,,,,,,,,,,,12
8782,14141717,14141717,#NAME?,14,Comilla,14,Brahmanpara,17,Madobpur,17,Kandughor-2,58,45,147,250,,13
9601,14152020,14152020,#NAME?,14,Comilla,15,Chauddagram,20,Chiora,20,Handa,6,65,92,163,,13
9357,14152121,14152121,#NAME?,14,Comilla,15,Chauddagram,21,kasinogor,21,Kadalia,19,29,97,145,,13
9453,14151919,14151919,#NAME?,14,Comilla,15,Chauddagram,19,Suvopur,19,Petikora+noapara,20,27,180,227,,13
8524,14517979,14517979,#NAME?,14,Comilla,51,Nangalkot,79,Moukora,79,Borofatepur,17,65,136,218,,13
8468,14517678,14517678,#NAME?,14,Comilla,51,Nangalkot,76,Peria,78,Madobpur-2,22,36,146,204,,13
,,,,,,,,,,,,,,,,,13
,,,,,,,,,,,,,,,,,13
251,25091379,25091379,#NAME?,25,Chandpur,09,Faridgonj,13,Char Dukhiya (E),79,Santoshpur-5,65,16,219,300,,14
201,25092612,25092612,#NAME?,25,Chandpur,09,Faridgonj,26,Gobindopur (N),12,Chandpur-2,52,50,180,282,,14
208,25092616,25092616,#NAME?,25,Chandpur,09,Faridgonj,26,Gobindopur (N),16,Danuya-4,50,21,196,267,,14
224,25092739,25092739,#NAME?,25,Chandpur,09,Faridgonj,27,Gobindopur (S),39,Hasa-4,22,42,214,278,,14
151,25095580,25095580,#NAME?,25,Chandpur,09,Faridgonj,55,Paikpara (N),80,Sasiani-3,53,16,149,218,,14
147,25095594,25095594,#NAME?,25,Chandpur,09,Faridgonj,55,Paikpara (N),94,Upadik-2,57,10,189,256,,14
174,25095619,25095619,#NAME?,25,Chandpur,09,Faridgonj,56,Paikpara (S),19,Daysara-2,43,8,215,266,,14
344,25096777,25096777,#NAME?,25,Chandpur,09,Faridgonj,67,Rupsa (N),77,Rupsa-6,38,89,164,291,,14
63,25097593,25097593,#NAME?,25,Chandpur,09,Faridgonj,75,Subidpur (E),93,Ubarampur-2,34,28,124,186,,14
,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,14
,,,,,,,,,,,,,,,,,14
4674,14446567,14446567,#NAME?,14,Chandpur,44, Matlab North,65,Chengarchar,67,West Sikirchor,53,68,80,201,,15
4922,14446668,14446668,#NAME?,14,Chandpur,44, Matlab North,66,Farajikandi,68,Ramdashpur,57,129,99,285,,15
4513,14141818,14141818,#NAME?,14,Chandpur,14,Chandpur Sadar,18,Laxmipur,18,Roghunathpur-5,21,159,120,300,,15
5031,14324446,14324446,#NAME?,14,Chandpur,32,Kachua ,44,Gohat (North),46,Batabaria`,9,19,167,195,,15
491,25195127,25195127,#NAME?,25,Chandpur,19,Matlab South,51,Narayanpur,27,Dulotpur-2,29,12,163,204,,15
497,25195146,25195146,#NAME?,25,Chandpur,19,Matlab South,51,Narayanpur,46,Kalikapur-1,24,16,176,216,,15
487,25195172,25195172,#NAME?,25,Chandpur,19,Matlab South,51,Narayanpur,72,Pawali,50,90,82,222,,15
550,25195208,25195208,#NAME?,25,Chandpur,19,Matlab South,52,Naraygoan North,08,Bokcor,45,0,176,221,,15
579,25195382,25195382,#NAME?,25,Chandpur,19,Matlab South,53,Naraygoan South,82,Shibpur,40,35,122,197,,15
,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,15
,,,,,,,,,,,,,,,,,15
1186,25115920,25115920,#NAME?,25,Sylhet,11,Gowainghat,59,Porchim Joflong,20,Dhakin panthomai,33,3,57,93,,16
1240,25116163,25116163,#NAME?,25,Sylhet,11,Gowainghat,61,Purbo Joflong,63,Mohammod pur-2,27,5,124,156,,16
1154,25116899,25116899,#NAME?,25,Sylhet,11,Gowainghat,68,Rustompur,99,Vitorgul,52,160,59,271,,16
1387,25112247,25112247,#NAME?,25,Sylhet,11,Gowainghat,22,Doubari,47,Kamait,53,64,135,252,,16
1251,25114486,25114486,#NAME?,25,Sylhet,11,Gowainghat,44,Langura,86,Sonir gram,39,51,80,170,,16
1353,25115045,25115045,#NAME?,25,Sylhet,11,Gowainghat,50,Nandir goan,45,Julur mukh,37,112,3,152,,16
,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,16
1116,25121434,25121434,#NAME?,25,Sylhet,12,Jaintapur,14,Chiknagul,34,Ghaterchati-1,45,50,55,150,,17
1070,25121688,25121688,#NAME?,25,Sylhet,12,Jaintapur,16,Darbost,88,Sreekhel,31,23,98,152,,17
1590,25136531,25136531,#NAME?,25,Sylhet,13,Kanaighat,65,Razagonj,31,Faljur-2,43,45,110,198,,17
1473,25137015,25137015,#NAME?,25,Sylhet,13,Kanaighat,70,Sathbak,15,Dabadoronirmati,26,0,100,126,,17
1835,25254625,25254625,#NAME?,25,Sylhet,25,Zokigonj,46,Manikpur,25,Dorgabaharpur,80,61,155,296,,17
1769,25257611,25257611,#NAME?,25,Sylhet,25,Zokigonj,76,Sultanpur,11,Brammongram,18,16,60,94,,17
,,,,,,,,,,,,,,,,,17
,,,,,,,,,,,,,,,,,17
904,25051175,25051175,#NAME?,25,Sylhet,05,Biswanath,11,Biswanath,75,Purbo Sirajpur,16,0,81,97,,18
924,25051107,25051107,#NAME?,25,Sylhet,05,Biswanath,11,Biswanath,07,Biswanath Notun Bazar-1,19,64,187,270,,18
765,25054323,25054323,#NAME?,25,Sylhet,05,Biswanath,43,Lamakazi,23,Digly-2,36,74,100,210,,18
770,25054359,25054359,#NAME?,25,Sylhet,05,Biswanath,43,Lamakazi,59,Mirpur,28,23,64,115,,18
607,25073149,25073149,#NAME?,25,Sylhet,07,Companigonj,31,Islampur Paschim,49,kathalbari - 1,39,86,63,188,,18
36595,14294042,14294042,#NAME?,14,Sunamganj,29,Jagannathpur,40,Raniganj,42,Kamrakhai,49,78,84,211,,18
,,,,,,,,,,,,,,,,,18
,,,,,,,,,,,,,,,,,18
2200,25063561,25063561,#NAME?,25,Sunamganj,06,Chhatak,35,Kalaruka,61,Modup pur,11,43,197,251,,19
20324,14253537,14253537,#NAME?,14,Habigonj,25,Habigonj Sadar,35,Habigonj Sadar-Pourashava,37,Purba Lanjapara,16,73,177,266,,19
35420,14405860,14405860,#NAME?,14,Moulvibazar,40,Kulaura,58,Baromchal,60,Akhilpur,51,89,131,271,,19
2342,25223492,25223492,#NAME?,25,Sunamganj,22,South Sunamgonj,34,Joykolosh,92,Teghoria,17,61,57,135,,19
5433,25100562,25100562,#NAME?,25,Chittagong,10,Fatickchari,05,Baganbazar,62,MohammedPur-3,49,86,36,171,,20
5394,25101002,25101002,#NAME?,25,Chittagong,10,Fatickchari,10,Bhujpur,02,Asia T. Bagan-2,51,125,160,336,,20
5117,25102326,25102326,#NAME?,25,Chittagong,10,Fatickchari,23,Dowlatpur,26,Dowlatpur-1,24,82,58,164,,20
5232,25104501,25104501,#NAME?,25,Chittagong,10,Fatickchari,45,Lelang,01,Ali Hongser Bari ,79,12,149,240,,20
5257,25106967,25106967,#NAME?,25,Chittagong,10,Fatickchari,69,Samitirhat,67,South Sadek Nagar-2,51,1,178,230,,20
5344,26107400,26107400,#NAME?,26,Chittagong,10,Fatickchari,74,Suabil,00,West Suabil-1,88,37,115,240,,20
,,,,,,,,,,,,,,,,,20
,,,,,,,,,,,,,,,,,20
6950,14111312,14111312,#NAME?,14,Chittagong,11,Boalkhali,13,East Gomdondi,12,East Chowdhury Para,7,57,139,203,,21
7011,14111213,14111213,#NAME?,14,Chittagong,11,Boalkhali,12,Popadia,13,Ahakubdandi Uttar,6,67,175,248,,21
5829,14273739,14273739,#NAME?,14,Chittagong,27,Hathazari,37,Burishchor,39,South Burishchor 280,15,61,204,280,,21
5788,14273840,14273840,#NAME?,14,Chittagong,27,Hathazari,38,Chikondandi,40,Rajkhan para 239,45,80,173,298,,21
10817,14162323,14162323,#NAME?,14,Cox's Bazar,16,Cox's Bazar Sadar,23,Islamabad,23,West Gojalia,30,97,133,260,,22
10943,14162222,14162222,#NAME?,14,Cox's Bazar,16,Cox's Bazar Sadar,22,Khurushkul,22,Hatkhola Para,10,11,90,111,,22
7286,14436365,14436365,#NAME?,14,Chittagong,43,Lohagara ,63,Amirabad ,65,Bonik Para ,16,103,157,276,,22
7254,14436466,14436466,#NAME?,14,Chittagong,43,Lohagara ,64,Barohatia ,66,Malpukuria ,9,50,241,300,,22
787,14080909,14080909,#NAME?,14,Shariatpur,08,Bhedargonj,09,Narayanpur,09,Narayanpur,59,59,97,215,,23
18754,14233233,14233233,#NAME?,14,Gopalgonj,23,Gopalgonj,32,Raghunathpur,33,Raghunathpur 1,32,99,121,252,,23
19295,14487274,14487274,#NAME?,14,Gopalgonj,48,Muksudpur,72,Muksudpur-Pourashava,74,Kamalapur-1,70,85,49,204,,23
19390,14487375,14487375,#NAME?,14,Gopalgonj,48,Muksudpur,73,Vabrasur,75,Kalinagar purba,35,151,47,233,,23
4219,25080714,25080714,#NAME?,25,Khulna,08,Dacope,07,Bajua,14,Chunkuri Taltola Moddhobil,45,56,47,148,,24
4231,25080969,25080969,#NAME?,25,Khulna,08,Dacope,09,Banishanta,69,Paschim Dhangmari- 2,12,66,49,127,,24
4150,25083748,25083748,#NAME?,25,Khulna,08,Dacope,37,Kamarkhola,48,Kamarkhola- 3,103,94,62,259,,24
4088,25084121,25084121,#NAME?,25,Khulna,08,Dacope,41,Koilashgonj,21,Dhopadi-Daskin,37,19,27,83,,24
4057,25085705,25085705,#NAME?,25,Khulna,08,Dacope,57,Pankhali,05,Baroikhali-1,42,45,27,114,,24
,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,24
,,,,,,,,,,,,,,,,,24
25078,14070808,14070808,#NAME?,14,Khulna,07,Batiaghata,08,Gongarampur,08,Kathamary,42,39,26,107,,25
25362,14192828,14192828,#NAME?,14,Khulna,19,Dumuria,28,Shahosh,28,Kagoji Para,11,72,107,190,,25
25333,14192727,14192727,#NAME?,14,Khulna,19,Dumuria,27,Sovna,27,Sovna Paschim Para,4,195,76,275,,25
24832,14213031,14213031,#NAME?,14,Khulna,21,Fultala,30,Jamira,31,Baddagati,25,91,93,209,,25
542,14568385,14568385,#NAME?,14,Bagerhat,56,Rampal,83,Vojpatia,85,Chandrakhali Uttar-1,3,108,144,255,,25
,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,25
,,,,,,,,,,,,,,,,,25
4293,25160435,25160435,#NAME?,25,Khulna,16,Koyra,04,Bagali,35,Ghugrakati-4,65,29,81,175,,26
4481,25161557,25161557,#NAME?,25,Khulna,16,Koyra,15,Dakshin Bedkasi,57,Matiavanga-1,69,42,129,240,,26
4474,25161570,25161570,#NAME?,25,Khulna,16,Koyra,15,Dakshin Bedkasi,70,Patakhali-2,144,1,15,160,,26
3959,25201230,25201230,#NAME?,25,Khulna,20,Paikgacha,12,Chadkhali,30,Fadurabad Dhamshakhali,61,49,87,197,,26
3945,25201236,25201236,#NAME?,25,Khulna,20,Paikgacha,12,Chadkhali,36,Gojalia-3,60,44,101,205,,26
3931,25201264,25201264,#NAME?,25,Khulna,20,Paikgacha,12,Chadkhali,64,Moikhali-1,71,56,116,243,,26
4006,25205404,25205404,#NAME?,25,Khulna,20,Paikgacha,54,Paikgacha-Pourashava,04,Bandikati,42,49,64,155,,26
3851,25207210,25207210,#NAME?,25,Khulna,20,Paikgacha,72,Soladana,10,Boyarjhapa ,21,84,142,247,,26
5812,25231887,25231887,#NAME?,25,Satkhira,23,Tala,18,Dhandia,87,South Sarsa-2,184,35,29,248,,27
6167,25233940,25233940,#NAME?,25,Satkhira,23,Tala,39,Kholilnagar,40,Hazrakati-2,113,43,53,209,,27
5986,25237781,25237781,#NAME?,25,Satkhira,23,Tala,77,Tala,81,Shapur,57,119,125,301,,27
5961,25237954,25237954,#NAME?,25,Satkhira,23,Tala,79,Tetulia,54,Lawtara-1,107,55,99,261,,27
21922,14385355,14385355,#NAME?,14,Jessore,38,Keshabpur,53,Majidpur,55,Lakhinatkati-1,17,65,92,174,,28
20605,14477072,14477072,#NAME?,14,Jessore ,47,Monirampur ,70,Kashimnogor ,72,Nadra-1,11,89,100,200,,28
20856,14477173,14477173,#NAME?,14,Jessore ,47,Monirampur ,71,Samkur ,73,Musgoni-2,26,135,136,297,,28
,,,,,,,,,,,,,,,,,28
22531,14355052,14355052,#NAME?,14,Jhenaidah,35,Kaligonj-Jhe,50,Barobazar,52,Sadikpur,41,133,116,290,,29
22364,14354951,14354951,#NAME?,14,Jhenaidah,35,Kaligonj-Jhe,49,Jamal,51,Basudevpur,49,71,78,198,,29
26564,14385456,14385456,#NAME?,14,Kushtia,38,Khoksa,54,Ambaria ,56,Dhokrakol ,33,112,119,264,,29
26682,14415961,14415961,#NAME?,14,Kushtia,41,Kushtia Sadar,59,Barkhada,61,Barkhada-5,71,165,64,300,,29
22937,14466870,14466870,#NAME?,14,Magura,46,Mohammadpur,68,Balidia,70,Nikhorhata-2,24,39,99,162,,29
22986,14466971,14466971,#NAME?,14,Magura,46,Mohammadpur,69,Palashbaria,71,Modhupur,11,65,19,95,,29
22669,14618991,14618991,#NAME?,14,Magura,61,Shalikha,89,Dhaneswargati,91,Singra,51,135,110,296,,29
,,,,,,,,,,,,,,,,,29
30342,14426163,14426163,#NAME?,14,Natore,42,Lalpur ,61,Duyaria,63,Ramnathpur ,86,28,135,249,,30
30458,14426264,14426264,#NAME?,14,Natore,42,Lalpur ,62,GopalpurPouroshova,64,Gopalpur-1,68,102,130,300,,30
30439,14426062,14426062,#NAME?,14,Natore,42,Lalpur ,60,Kadimchilan,62,Vobanipur-2,131,28,97,256,,30
,,,,,,,,,,,,,,,,,30
6482,25016255,25016255,#NAME?,25,Joypurhat,01,Akkelpur,62,Raikali,55,Maligram,50,21,170,241,,31
6379,25016674,25016674,#NAME?,25,Joypurhat,01,Akkelpur,66,Rukindipur,74,Poschim Matapur -02,38,34,51,123,,31
6401,25017337,25017337,#NAME?,25,Joypurhat,01,Akkelpur,73,Sonamukhi,37,Gonipur -03,44,32,55,131,,31
23964,14314345,14314345,#NAME?,14,Joypurhat,31,Joypurhat sadar,43,Puranapail,45,cithatigara,26,108,98,232,,31
6203,25150376,25150376,#NAME?,25,Joypurhat,15,Khetlal,03,Alampur,76,Ragunathpur,37,109,71,217,,31
,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,31
,,,,,,,,,,,,,,,,,31
5513,25186097,25186097,#NAME?,25,Lalmonirhat,18,Lalmonirhat Sadar,60,Lalmonirhat Sadar-Pourashava,97,Vaturi-1,118,47,67,232,,32
5465,25184741,25184741,#NAME?,25,Lalmonirhat,18,Lalmonirhat Sadar,47,Mogholhat,41,Itapota-1,49,66,88,203,,32
,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,32
34032,14020303,14020303,#NAME?,14,Panchagarh,02,Atwari,03,Radhanagar,03,Maligoan-2,34,86,95,215,,33
14248,14091010,14091010,#NAME?,14,Dinajpur,09,Birampur,10,Binail,10,Binail,96,106,84,286,,33
34349,14101111,14101111,#NAME?,14,Dinajpur,10,Birgonj,11,Moricha,11,Nagori Sagori -2,47,102,105,254,,33
24509,14538082,14538082,#NAME?,14,Joypurhat,53,Panchbibi,80,Kusumba,82,Purboksnopur,98,71,120,289,,33
24490,14537881,14537881,#NAME?,14,Joypurhat,53,Panchbibi,78,Mohammadpur,81,Sonapara,95,105,100,300,,33
34526,14548183,14548183,#NAME?,14,Dinajpur,54,Parbatipur,81,Chandipur,83,Kalikabari Dangapara,71,165,80,316,,33
,,,,,,,,,,,,,,,,,33
,,,,,,,,,,,,,,,,,33
1104,14010202,14010202,#NAME?,14,Bogra,01,Adamdighi,02,Chapapur,02,Chapapur-2,47,59,35,141,,34
975,14010101,14010101,#NAME?,14,Bogra,01,Adamdighi,01,Satiangram,01,Bagbari,53,140,90,283,,34
1517,14131616,14131616,#NAME?,14,Bogra,13,Bogra Sadar,16,Bogra Sadar-Pourashava,16,Shib Bati Jejerail,26,69,216,311,,34
1246,14131515,14131515,#NAME?,14,Bogra,13,Bogra Sadar,15,Sabgram,15,Akash tara Mondol,10,94,131,235,,34
2681,14334547,14334547,#NAME?,14, Bogra,33,Kahaloo,45, Jamgram,47,D. Jamgram,92,75,104,271,,34
2470,14334648,14334648,#NAME?,14,Bogra,33,Kahaloo,46,Birkadar,48,shardarpara,17,56,63,136,,34
,,,,,,,,,,,,,,,,,34
,,,,,,,,,,,,,,,,,34
1747,14172424,14172424,#NAME?,14,Bogra,17,Dhunat ,24,Dhunat Sadar,24,Chalapara Uttor ,49,166,45,260,,35
2851,14507577,14507577,#NAME?,14,Bogra,50,Nandigram,75,Thaltamazgram,77,Toyobpur chandrokhola,84,74,130,288,,35
3033,14588587,14588587,#NAME?,14,Bogra,58,Sariakandi,85,Hatsherpur,87,Nizbolail Uttor,37,61,220,318,,35
3396,14598688,14598688,#NAME?,14,Bogra,59,Shajahanpur,86,Amrul,88,Maria Poschim,15,95,177,287,,35
4088,14649294,14649294,#NAME?,14,Bogra ,64,Shibgonj ,92,Mokamtola ,94,Lokhipur ,18,134,105,257,,35
,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,35
,,,,,,,,,,,,,,,,,35
39446,14669698,14669698,#NAME?,14,Noakhali,66,Sonaimuri,96,Joyag,98,Chotokegna-1,65,29,129,223,,36
39555,14669597,14669597,#NAME?,14,Noakhali,66,Sonaimuri,95,Nateshor,97,North Middle Nateshor,62,49,184,295,,36
,,,,,,,,,,,,,,,,,36
